nombre,area,perimetro,verde,rojo,naranja,feature
apple,1.0,0.028370221327967807,0.0,0.3766599597585513,0.45472837022132795,1
apple,1.0,0.026846846846846847,0.0,0.7598198198198198,0.1437837837837838,1
apple,1.0,0.02800626713670192,0.0,0.1472777124951038,0.21406188797493145,1
apple,1.0,0.004175529132814952,0.0,0.7776770459221033,0.3054804909515674,1
apple,1.0,0.004515247879973907,0.0,0.7961207599478147,0.2602077217873451,1
apple,1.0,0.003152368210997313,0.0,0.7911319969870375,0.30911870847339484,1
apple,1.0,0.02531645569620253,0.0,0.63675692997917,0.5132190354109918,1
apple,1.0,0.004790755849312082,0.0,0.6461381344165605,0.005014515703351808,1
apple,1.0,0.025978407557354925,0.0,0.7208164642375169,0.11858974358974358,1
apple,1.0,0.03393730227207363,0.0,0.38682772505033075,0.03393730227207363,1
apple,1.0,0.03262599469496021,0.0,0.2793103448275862,0.06074270557029178,1
apple,1.0,0.030076888285843508,0.0,0.016056083220262325,0.010854816824966078,1
apple,1.0,0.028693528693528692,0.0,0.07712657712657713,0.06186406186406186,1
apple,1.0,0.030834914611005692,0.0,0.054079696394686905,0.005929791271347249,1
apple,1.0,0.03194726166328601,0.0,0.0,0.0,1
apple,1.0,0.02666666666666667,0.0,0.4688,0.4467555555555556,1
apple,1.0,0.029906956136464335,0.0,0.14532565352237484,0.20824102791315907,1
apple,1.0,0.031818181818181815,0.0,0.007070707070707071,0.012626262626262626,1
apple,1.0,0.03131881575727918,0.0,0.5461218497675556,0.390261805725471,1
apple,1.0,0.014843410178338408,0.0,0.2105806872553284,0.19084384515006525,1
apple,1.0,0.03239289446185998,0.0,0.1752873563218391,0.22648902821316613,1
apple,1.0,0.03300865800865801,0.0,0.028409090909090908,0.03409090909090909,1
apple,1.0,0.025978407557354925,0.0,0.7373481781376519,0.3149460188933873,1
apple,1.0,0.005319975696259767,0.0,0.0,0.0,1
apple,1.0,0.0259915611814346,0.0,0.6973839662447258,0.3157805907172996,1
apple,1.0,0.01911001911001911,0.0,0.4932204932204932,0.31686231686231686,1
apple,1.0,0.018404390037990714,0.0,0.24347826086956523,0.5293372731110173,1
apple,1.0,0.01796648404769578,0.0,0.7572510473735095,0.5990976474379632,1
apple,1.0,0.018614718614718615,0.0,0.6971428571428572,0.7421645021645021,1
apple,1.0,0.020495214315439034,0.0,0.5727215980024969,0.23293799417394923,1
apple,1.0,0.01985062893081761,0.0,0.7019457547169812,0.20961084905660377,1
apple,1.0,0.010521978021978021,0.0,0.5775,0.3457967032967033,1
apple,1.0,0.020162107396149948,0.0,0.6986828774062817,0.3934143870314083,1
apple,1.0,0.006982766966792526,0.0,0.4726740245909575,0.34865427437312424,1
apple,1.0,0.021440036688832837,0.0,0.41997248337537263,0.4611327677138271,1
apple,1.0,0.026846846846846847,0.0,0.6551351351351351,0.19837837837837838,1
apple,1.0,0.021874252928520202,0.0,0.5968204637819746,0.26535978962467127,1
apple,1.0,0.009970238095238095,0.0,0.0,0.0,1
apple,1.0,0.027071520029266508,0.0,0.7300164624108286,0.2694347905615511,1
apple,1.0,0.027071520029266508,0.0,0.7300164624108286,0.2694347905615511,1
apple,1.0,0.02877846790890269,0.0,0.6242236024844721,0.5244306418219462,1
apple,1.0,0.02857142857142857,0.0,0.6155102040816327,0.5169387755102041,1
apple,1.0,0.027031963470319633,0.0,0.3278538812785388,0.42684931506849316,1
apple,1.0,0.02923602219376867,0.0,0.4061032863849765,0.6139564660691421,1
apple,1.0,0.02900988017658188,0.0,0.40004204330460374,0.6047929367248266,1
apple,1.0,0.027783137179239824,0.0,0.2008489291915879,0.29538877098205674,1
apple,1.0,0.024350649350649352,0.0,0.45661157024793386,0.42311097992916175,1
apple,1.0,0.018042071197411004,0.0,0.7275080906148867,0.06731391585760518,1
apple,1.0,0.020128824476650563,0.0,0.7397342995169082,0.43951288244766507,1
apple,1.0,0.021111111111111112,0.0,0.5757777777777778,0.103,1
apple,1.0,0.018112099208615486,0.0,0.7968507791466101,0.09480296973158195,1
apple,1.0,0.0172823023290313,0.0,0.6595460614152203,0.42627206645898236,1
apple,1.0,0.013515870247645622,0.0,0.7320805720265086,0.25061039414021624,1
apple,1.0,0.013952569169960474,0.0,0.20944664031620552,0.05110671936758893,1
apple,1.0,0.019549876025176424,0.0,0.787716955941255,0.019645241274079725,1
apple,1.0,0.019149715961150816,0.0,0.6713395638629284,0.046454095656954374,1
apple,1.0,0.020697748853088657,0.0,0.7218606636082364,0.16302144457484263,1
apple,1.0,0.017648888197791944,0.0,0.3602861141346602,0.20564453428704713,1
apple,1.0,0.018524871355060035,0.0,0.6024871355060034,0.39708404802744424,1
apple,1.0,0.017679900744416874,0.0,0.4577388337468983,0.23619727047146402,1
apple,1.0,0.018849557522123892,0.0,0.8143362831858407,0.16884955752212388,1
apple,1.0,0.008005474917239623,0.0,0.4786732874968169,0.17101158645276293,1
apple,1.0,0.025503573749187783,0.0,0.5669265756985056,0.2912605588044185,1
apple,1.0,0.025332691999358666,0.0,0.5624498957832291,0.2874779541446208,1
apple,1.0,0.028790389395194696,0.0,0.06545153272576636,0.1688069594034797,1
apple,1.0,0.03252247488101533,0.0,0.0,0.2004230565838181,1
apple,1.0,0.03055037313432836,0.0,0.3763992537313433,0.4820429104477612,1
apple,1.0,0.030776515151515152,0.0,0.3821022727272727,0.4893465909090909,1
apple,1.0,0.02254305977710233,0.0,0.0,0.0,1
apple,1.0,0.03052749719416386,0.0,0.0,0.0,1
apple,1.0,0.024853349799320777,0.0,0.0,0.0,1
